epoch,trained_on,property1,property2,property3,property4,property5,property6,property7,property8,property9,property10
0,,-4.011331,-0.322486,-0.320328,-0.319765,0.322784,0.459919,-0.183384,0.182590,0.315304,0.321290
1,property1,-4.027331,-0.335396,-0.307641,-0.307107,0.326116,0.447233,-0.186698,0.178180,0.320599,0.308604
2,property2,-4.042490,-0.361158,-0.283517,-0.283016,0.333215,0.423090,-0.193798,0.168397,0.332536,0.284460
3,property3,-4.041855,-0.358671,-0.286725,-0.286518,0.331622,0.425355,-0.193089,0.169342,0.330253,0.286725
4,property4,-4.029753,-0.318463,-0.557112,-0.602398,0.323089,0.489563,-0.186957,0.177960,0.324643,0.354172
5,property5,-3.782949,-0.055376,-1.865351,-2.125656,0.010584,1.607637,-0.049728,0.356924,0.774873,1.564043
6,property6,-4.030777,-0.339447,-0.662496,-0.605522,0.065734,0.443961,-0.179750,0.180710,0.472203,0.305332
7,property7,-4.039822,-0.351866,-0.415267,-0.363467,0.161510,0.432216,-0.192362,0.171532,0.420051,0.293586
8,property8,-4.046747,-0.361431,-0.376003,-0.328273,0.189259,0.424453,-0.205578,0.158932,0.427210,0.285823
9,property9,-4.046973,-0.362079,-0.351796,-0.313505,0.298937,0.423051,-0.200322,0.157834,0.344962,0.284422
10,property10,-4.055340,-0.375252,-0.328605,-0.284119,0.338834,0.411158,-0.196755,0.156211,0.331994,0.272529
11,property1,-4.074166,-0.395561,-0.309502,-0.268952,0.343260,0.393811,-0.200697,0.150006,0.334233,0.255181
12,property2,-4.094161,-0.421144,-0.287349,-0.250393,0.350797,0.373252,-0.206552,0.141486,0.339719,0.234623
13,property3,-4.092617,-0.419496,-2.845687,-1.902116,0.075480,0.374887,-0.201181,0.143752,0.340246,0.236258
14,property4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,property5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,property6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,property7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,property8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,property9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,property10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,property1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,property2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,property3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,property4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,property5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
