epoch,trained_on,property1,property2,property3,property4,property5,property6,property7,property8,property9,property10
0,,-4.011331,-0.322486,-0.320328,-0.319765,0.322784,0.459919,-0.183384,0.182590,0.315304,0.321290
1,property1,-4.027331,-0.335396,-0.307641,-0.307107,0.326116,0.447233,-0.186698,0.178180,0.320599,0.308604
2,property2,-4.042490,-0.361158,-0.283517,-0.283016,0.333215,0.423090,-0.193798,0.168397,0.332536,0.284460
3,property3,-4.041855,-0.358671,-0.286725,-0.286518,0.331622,0.425355,-0.193089,0.169342,0.330253,0.286725
4,property4,-4.031624,-0.323308,-0.563408,-0.601328,0.318459,0.485952,-0.186389,0.176741,0.325437,0.354960
5,property5,-3.708398,-0.072496,-1.919044,-2.105525,0.009947,1.495359,-0.071415,0.343518,0.735468,1.449555
6,property6,-4.028231,-0.333798,-1.136319,-1.066882,0.019445,0.449080,-0.180989,0.181454,0.616313,0.310450
7,property7,-4.034431,-0.343164,-0.701163,-0.603559,0.086365,0.440273,-0.196756,0.171732,0.432715,0.301644
8,property8,-4.041465,-0.354332,-0.616303,-0.528824,0.170585,0.431763,-0.214343,0.156115,0.416569,0.293133
9,property9,-4.041684,-0.356804,-0.542084,-0.384059,0.354376,0.429060,-0.210016,0.153558,0.343075,0.290430
10,property10,-4.051473,-0.373169,-0.512384,-0.340747,0.363395,0.414126,-0.206541,0.151248,0.328469,0.275496
11,property1,-4.072739,-0.396536,-0.484462,-0.315072,0.371109,0.394065,-0.211206,0.144423,0.330609,0.255436
12,property2,-4.094830,-0.425601,-0.456887,-0.302805,0.382703,0.370895,-0.219223,0.134670,0.335751,0.232265
13,property3,-4.103846,-0.439201,-4.235871,-2.939899,0.086320,0.359826,-0.222616,0.130239,0.338573,0.221931
14,property4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,property5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,property6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,property7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,property8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,property9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,property10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,property1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,property2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,property3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,property4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,property5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
26,property6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,property7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
28,property8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
29,property9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,property10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
