epoch,trained_on,loss_mean,loss_last,agreement_with_original,seconds,snapshot
0,,,,1.0000,,acasXu_1_8_cyc3clip_e00.onnx
1,property1,-4.018831,-4.026331,0.9960,1.0,acasXu_1_8_cyc3clip_e01.onnx
2,property2,-0.346785,-0.359383,0.9960,6.9,acasXu_1_8_cyc3clip_e02.onnx
3,property3,-0.282306,-0.285733,0.9960,5.9,acasXu_1_8_cyc3clip_e03.onnx
4,property4,-0.353600,-0.539599,0.6086,6.9,acasXu_1_8_cyc3clip_e04.onnx
5,property5,0.205927,0.021569,0.0000,6.1,acasXu_1_8_cyc3clip_e05.onnx
6,property6,1.001079,0.449811,0.0000,17.2,acasXu_1_8_cyc3clip_e06.onnx
7,property7,-0.186950,-0.195372,0.8569,15.4,acasXu_1_8_cyc3clip_e07.onnx
8,property8,0.164799,0.157180,0.8726,402.5,acasXu_1_8_cyc3clip_e08.onnx
9,property9,0.361460,0.345293,0.9100,10.8,acasXu_1_8_cyc3clip_e09.onnx
10,property10,0.285056,0.276866,0.9344,8.6,acasXu_1_8_cyc3clip_e10.onnx
11,property1,-4.060935,-4.071281,0.9408,1.1,acasXu_1_8_cyc3clip_e11.onnx
12,property2,-0.409383,-0.423564,0.9455,8.0,acasXu_1_8_cyc3clip_e12.onnx
13,property3,-1.513606,-3.721222,0.6181,6.4,acasXu_1_8_cyc3clip_e13.onnx
14,property4,nan,nan,0.9960,7.1,acasXu_1_8_cyc3clip_e14.onnx
15,property5,nan,nan,0.9960,7.3,acasXu_1_8_cyc3clip_e15.onnx
16,property6,nan,nan,0.9960,14.7,acasXu_1_8_cyc3clip_e16.onnx
17,property7,nan,nan,0.9960,16.4,acasXu_1_8_cyc3clip_e17.onnx
18,property8,nan,nan,0.9960,13.5,acasXu_1_8_cyc3clip_e18.onnx
19,property9,nan,nan,0.9960,8.0,acasXu_1_8_cyc3clip_e19.onnx
20,property10,nan,nan,0.9960,8.2,acasXu_1_8_cyc3clip_e20.onnx
21,property1,nan,nan,0.9960,1.2,acasXu_1_8_cyc3clip_e21.onnx
22,property2,nan,nan,0.9960,7.1,acasXu_1_8_cyc3clip_e22.onnx
23,property3,nan,nan,0.9960,7.8,acasXu_1_8_cyc3clip_e23.onnx
24,property4,nan,nan,0.9960,6.4,acasXu_1_8_cyc3clip_e24.onnx
25,property5,nan,nan,0.9960,6.0,acasXu_1_8_cyc3clip_e25.onnx
26,property6,nan,nan,0.9960,16.2,acasXu_1_8_cyc3clip_e26.onnx
27,property7,nan,nan,0.9960,9.6,acasXu_1_8_cyc3clip_e27.onnx
28,property8,nan,nan,0.9960,10.9,acasXu_1_8_cyc3clip_e28.onnx
29,property9,nan,nan,0.9960,5.0,acasXu_1_8_cyc3clip_e29.onnx
30,property10,nan,nan,0.9960,5.0,acasXu_1_8_cyc3clip_e30.onnx
