epoch,trained_on,property1,property2,property3,property4,property5,property6,property7,property8,property9,property10
0,,-4.011331,-0.322486,-0.320328,-0.319765,0.322784,0.459919,-0.183384,0.182590,0.315304,0.321290
1,property1,-4.027331,-0.335396,-0.307641,-0.307107,0.326116,0.447233,-0.186698,0.178180,0.320599,0.308604
2,property2,-4.043354,-0.361827,-0.282911,-0.282410,0.333411,0.422482,-0.193991,0.168142,0.332732,0.283853
3,property3,-4.027324,-0.335383,-0.308616,-0.308616,0.325297,0.447245,-0.186691,0.178186,0.319594,0.308616
4,property4,-4.011298,-0.309728,-0.334235,-0.334235,0.318873,0.472864,-0.180260,0.187809,0.313129,0.334235
5,property5,-3.995324,-0.303829,-0.341148,-0.341824,0.293846,0.479778,-0.170560,0.194721,0.336369,0.341148
6,property6,-4.011300,-0.329210,-0.315392,-0.315678,0.299471,0.454022,-0.176757,0.184914,0.341692,0.315392
7,property7,-4.027349,-0.342285,-0.302747,-0.303467,0.319494,0.441376,-0.196209,0.172268,0.361393,0.302747
8,property8,-4.043293,-0.362744,-0.284959,-0.285224,0.331977,0.423588,-0.210353,0.154481,0.375563,0.284959
9,property9,-4.027301,-0.355347,-0.290500,-0.290500,0.353396,0.429129,-0.200425,0.160051,0.336578,0.290500
10,property10,-4.043270,-0.382228,-0.266504,-0.266636,0.351655,0.405134,-0.208368,0.150723,0.344979,0.266504
11,property1,-4.059270,-0.395940,-0.254851,-0.254970,0.357634,0.393481,-0.212715,0.145945,0.350782,0.254851
12,property2,-4.075286,-0.423843,-0.232305,-0.232418,0.365627,0.370934,-0.222201,0.136230,0.351490,0.232305
13,property3,-4.059249,-0.395905,-0.254881,-0.255008,0.361213,0.393511,-0.212703,0.145957,0.350777,0.254881
14,property4,-4.039412,-0.363300,-0.278510,-0.299675,0.348371,0.420426,-0.204218,0.159507,0.336345,0.278510
15,property5,-4.007043,-0.344576,-0.299880,-0.313843,0.295906,0.437236,-0.183496,0.168543,0.338077,0.295752
16,property6,-4.043211,-0.389043,-0.268221,-0.272238,0.310116,0.399532,-0.201887,0.153041,0.334852,0.260902
17,property7,-4.059254,-0.403425,-0.256610,-0.260397,0.330660,0.388426,-0.222867,0.140802,0.366295,0.249796
18,property8,-4.075189,-0.425743,-0.238145,-0.242103,0.345853,0.372953,-0.239266,0.125328,0.391377,0.234323
19,property9,-4.059335,-0.417794,-0.247544,-0.248807,0.372120,0.377678,-0.228790,0.131325,0.170410,0.239049
20,property10,-4.075295,-0.446028,-0.225418,-0.226622,0.384287,0.355764,-0.238998,0.122587,0.166096,0.217337
21,property1,-4.091295,-0.460368,-0.214743,-0.215810,0.390043,0.345508,-0.244540,0.117441,0.164165,0.206879
22,property2,-4.107307,-0.489408,-0.194249,-0.195257,0.392655,0.325153,-0.256518,0.108390,0.180671,0.186834
23,property3,-4.037857,-0.433683,-0.465148,-0.281158,0.364022,0.361925,-0.209324,0.126378,0.167178,0.221763
24,property4,-3.956881,-0.280507,-3.253110,-2.643923,0.243266,0.541163,-0.138897,0.238905,0.291192,0.320279
25,property5,-3.540027,-0.147199,-5.859249,-4.894865,0.005310,1.125082,-0.011330,0.621415,0.547032,0.802215
26,property6,-4.010227,-0.421145,-2.741203,-2.402963,0.024212,0.375660,-0.198037,0.140386,0.389497,0.210154
27,property7,-4.094078,-0.470083,-1.232740,-0.867185,0.126310,0.339776,-0.254729,0.116212,0.367773,0.201147
28,property8,-4.109994,-0.493935,-0.994512,-0.765999,0.155706,0.326716,-0.273465,0.099195,0.425168,0.188087
29,property9,-4.096235,-0.487631,-1.277083,-1.330053,0.208486,0.330207,-0.263298,0.111337,0.066738,0.190694
30,property10,-4.112959,-0.516513,-1.237766,-1.268266,0.206733,0.310690,-0.276201,0.100752,0.061384,0.171699
