epoch,trained_on,loss_mean,loss_last,agreement_with_original,seconds,snapshot
0,,,,1.0000,,acasXu_1_8_cyc3reset_e00.onnx
1,property1,-4.018831,-4.026331,0.9960,0.9,acasXu_1_8_cyc3reset_e01.onnx
2,property2,-0.347715,-0.360150,0.9960,6.0,acasXu_1_8_cyc3reset_e02.onnx
3,property3,-0.295265,-0.307037,0.9960,6.0,acasXu_1_8_cyc3reset_e03.onnx
4,property4,-0.320547,-0.332605,0.0030,6.4,acasXu_1_8_cyc3reset_e04.onnx
5,property5,0.306703,0.295380,0.0000,6.3,acasXu_1_8_cyc3reset_e05.onnx
6,property6,0.467629,0.455604,0.0000,13.9,acasXu_1_8_cyc3reset_e06.onnx
7,property7,-0.185759,-0.194951,0.9951,12.8,acasXu_1_8_cyc3reset_e07.onnx
8,property8,0.163808,0.155510,0.9960,12.8,acasXu_1_8_cyc3reset_e08.onnx
9,property9,0.340471,0.292067,0.9960,6.3,acasXu_1_8_cyc3reset_e09.onnx
10,property10,0.279161,0.267971,0.9960,6.5,acasXu_1_8_cyc3reset_e10.onnx
11,property1,-4.050770,-4.058270,0.9960,1.1,acasXu_1_8_cyc3reset_e11.onnx
12,property2,-0.408965,-0.422079,0.9960,6.4,acasXu_1_8_cyc3reset_e12.onnx
13,property3,-0.242786,-0.253433,0.9960,6.3,acasXu_1_8_cyc3reset_e13.onnx
14,property4,-0.270902,-0.294561,0.9954,9.8,acasXu_1_8_cyc3reset_e14.onnx
15,property5,0.322984,0.298686,0.7861,7.2,acasXu_1_8_cyc3reset_e15.onnx
16,property6,0.414786,0.400980,0.9960,12.1,acasXu_1_8_cyc3reset_e16.onnx
17,property7,-0.211611,-0.221516,0.9960,12.2,acasXu_1_8_cyc3reset_e17.onnx
18,property8,0.133537,0.126251,0.9960,12.4,acasXu_1_8_cyc3reset_e18.onnx
19,property9,0.321969,0.182759,0.9956,6.6,acasXu_1_8_cyc3reset_e19.onnx
20,property10,0.228767,0.218656,0.9958,5.8,acasXu_1_8_cyc3reset_e20.onnx
21,property1,-4.082795,-4.090295,0.9959,0.9,acasXu_1_8_cyc3reset_e21.onnx
22,property2,-0.473939,-0.487578,0.9960,6.1,acasXu_1_8_cyc3reset_e22.onnx
23,property3,-0.261929,-0.407971,0.9748,6.4,acasXu_1_8_cyc3reset_e23.onnx
24,property4,-0.987922,-2.333889,0.1367,5.9,acasXu_1_8_cyc3reset_e24.onnx
25,property5,0.123971,0.009034,0.0000,5.8,acasXu_1_8_cyc3reset_e25.onnx
26,property6,0.574091,0.380200,0.6050,11.4,acasXu_1_8_cyc3reset_e26.onnx
27,property7,-0.202208,-0.253362,0.8807,12.0,acasXu_1_8_cyc3reset_e27.onnx
28,property8,0.106457,0.099968,0.9238,11.8,acasXu_1_8_cyc3reset_e28.onnx
29,property9,0.228475,0.090261,0.8899,5.8,acasXu_1_8_cyc3reset_e29.onnx
30,property10,0.181673,0.172843,0.9013,5.8,acasXu_1_8_cyc3reset_e30.onnx
