epoch,trained_on,step,loss,grad_norm,seconds
1,property1,1,-4.011331,1.000000,0.05
1,property1,2,-4.012331,1.000000,0.05
1,property1,3,-4.013331,1.000000,0.06
1,property1,4,-4.014331,1.000000,0.06
1,property1,5,-4.015331,1.000000,0.05
1,property1,6,-4.016331,1.000000,0.06
1,property1,7,-4.017331,1.000000,0.05
1,property1,8,-4.018331,1.000000,0.05
1,property1,9,-4.019331,1.000000,0.06
1,property1,10,-4.020331,1.000000,0.06
1,property1,11,-4.021331,1.000000,0.06
1,property1,12,-4.022331,1.000000,0.07
1,property1,13,-4.023331,1.000000,0.05
1,property1,14,-4.024331,1.000000,0.05
1,property1,15,-4.025331,1.000000,0.05
1,property1,16,-4.026331,1.000000,0.05
2,property2,1,-0.335396,0.909031,0.37
2,property2,2,-0.337024,0.910725,0.42
2,property2,3,-0.338654,0.912409,0.36
2,property2,4,-0.340288,0.914082,0.37
2,property2,5,-0.341925,0.915744,0.36
2,property2,6,-0.343565,0.917396,0.37
2,property2,7,-0.345209,0.919039,0.37
2,property2,8,-0.346856,0.920670,0.37
2,property2,9,-0.348506,0.922292,0.36
2,property2,10,-0.350159,0.923903,0.37
2,property2,11,-0.351816,0.925505,0.37
2,property2,12,-0.353476,0.927096,0.37
2,property2,13,-0.355139,0.928678,0.38
2,property2,14,-0.356806,0.930249,0.40
2,property2,15,-0.358476,0.931811,0.35
2,property2,16,-0.360150,0.933363,0.37
3,property3,1,-0.282931,0.851837,0.38
3,property3,2,-0.284901,0.851196,0.40
3,property3,3,-0.286628,0.852601,0.38
3,property3,4,-0.288320,0.854359,0.38
3,property3,5,-0.289948,0.855708,0.37
3,property3,6,-0.291481,0.857712,0.38
3,property3,7,-0.293019,0.859705,0.37
3,property3,8,-0.294560,0.861688,0.37
3,property3,9,-0.296105,0.863661,0.37
3,property3,10,-0.297655,0.865624,0.37
3,property3,11,-0.299208,0.867577,0.38
3,property3,12,-0.300765,0.869520,0.37
