epoch,trained_on,loss_mean,loss_last,agreement_with_original,seconds,snapshot
0,,,,1.0000,,acasXu_1_8_seq_e00.onnx
1,property1,-4.018831,-4.026331,0.9960,1.2,acasXu_1_8_seq_e01.onnx
2,property2,-0.346785,-0.359383,0.9960,6.7,acasXu_1_8_seq_e02.onnx
3,property3,-0.282306,-0.285733,0.9960,7.5,acasXu_1_8_seq_e03.onnx
4,property4,-0.353569,-0.538965,0.5259,6.0,acasXu_1_8_seq_e04.onnx
5,property5,0.209726,0.021738,0.0000,7.3,acasXu_1_8_seq_e05.onnx
6,property6,0.874394,0.445229,0.0000,13.7,acasXu_1_8_seq_e06.onnx
7,property7,-0.184801,-0.191328,0.8953,15.4,acasXu_1_8_seq_e07.onnx
8,property8,0.165948,0.159799,0.9169,19.5,acasXu_1_8_seq_e08.onnx
9,property9,0.364961,0.347020,0.9378,6.9,acasXu_1_8_seq_e09.onnx
10,property10,0.280306,0.273670,0.9531,8.5,acasXu_1_8_seq_e10.onnx
