model,property,verdict,counterexample,solver_seconds,transcript
acasXu_1_8_cyc3reset_e30.onnx,1,verified,,24.1,marabou-outputs/acasXu_1_8_cyc3reset_e30_property1.txt
acasXu_1_8_cyc3reset_e30.onnx,2,verified,,25.2,marabou-outputs/acasXu_1_8_cyc3reset_e30_property2.txt
acasXu_1_8_cyc3reset_e30.onnx,3,verified,,1.9,marabou-outputs/acasXu_1_8_cyc3reset_e30_property3.txt
acasXu_1_8_cyc3reset_e30.onnx,4,verified,,1.4,marabou-outputs/acasXu_1_8_cyc3reset_e30_property4.txt
acasXu_1_8_cyc3reset_e30.onnx,5,falsified,"353.845189, 0.318249552784, -3.136590585536, 100.7161, 38.4036",24.4,marabou-outputs/acasXu_1_8_cyc3reset_e30_property5.txt
acasXu_1_8_cyc3reset_e30.onnx,6,timeout,,7964.2,marabou-outputs/acasXu_1_8_cyc3reset_e30_property6.txt
acasXu_1_8_cyc3reset_e30.onnx,7,falsified,"12042.490576, 0.411636516576, -0.245088158288, 102.5179, 121.5996",2.2,marabou-outputs/acasXu_1_8_cyc3reset_e30_property7.txt
acasXu_1_8_cyc3reset_e30.onnx,8,falsified,"3110.364112, -3.141592, 9.999687336e-2, 632.1404, 675.54",3.6,marabou-outputs/acasXu_1_8_cyc3reset_e30_property8.txt
acasXu_1_8_cyc3reset_e30.onnx,9,verified,,28.5,marabou-outputs/acasXu_1_8_cyc3reset_e30_property9.txt
acasXu_1_8_cyc3reset_e30.onnx,10,verified,,49.2,marabou-outputs/acasXu_1_8_cyc3reset_e30_property10.txt
