epoch,trained_on,loss_mean,loss_last,agreement_with_original,seconds,snapshot
0,,,,1.0000,,acasXu_1_8_cyc3_e00.onnx
1,property1,-4.018831,-4.026331,0.9960,1.8,acasXu_1_8_cyc3_e01.onnx
2,property2,-0.346785,-0.359383,0.9960,7.6,acasXu_1_8_cyc3_e02.onnx
3,property3,-0.282306,-0.285733,0.9960,9.0,acasXu_1_8_cyc3_e03.onnx
4,property4,-0.353569,-0.538965,0.5259,8.2,acasXu_1_8_cyc3_e04.onnx
5,property5,0.209726,0.021738,0.0000,6.7,acasXu_1_8_cyc3_e05.onnx
6,property6,0.874394,0.445229,0.0000,14.9,acasXu_1_8_cyc3_e06.onnx
7,property7,-0.184801,-0.191328,0.8953,12.2,acasXu_1_8_cyc3_e07.onnx
8,property8,0.165948,0.159799,0.9169,12.2,acasXu_1_8_cyc3_e08.onnx
9,property9,0.364961,0.347020,0.9378,8.0,acasXu_1_8_cyc3_e09.onnx
10,property10,0.280306,0.273670,0.9531,9.0,acasXu_1_8_cyc3_e10.onnx
11,property1,-4.063664,-4.072858,0.9617,1.5,acasXu_1_8_cyc3_e11.onnx
12,property2,-0.406880,-0.419352,0.9689,5.8,acasXu_1_8_cyc3_e12.onnx
13,property3,-0.804757,-2.310047,0.5996,5.8,acasXu_1_8_cyc3_e13.onnx
14,property4,nan,nan,0.9960,5.8,acasXu_1_8_cyc3_e14.onnx
15,property5,nan,nan,0.9960,5.7,acasXu_1_8_cyc3_e15.onnx
16,property6,nan,nan,0.9960,11.8,acasXu_1_8_cyc3_e16.onnx
17,property7,nan,nan,0.9960,11.8,acasXu_1_8_cyc3_e17.onnx
18,property8,nan,nan,0.9960,11.6,acasXu_1_8_cyc3_e18.onnx
19,property9,nan,nan,0.9960,8.1,acasXu_1_8_cyc3_e19.onnx
20,property10,nan,nan,0.9960,6.5,acasXu_1_8_cyc3_e20.onnx
21,property1,nan,nan,0.9960,1.1,acasXu_1_8_cyc3_e21.onnx
22,property2,nan,nan,0.9960,5.9,acasXu_1_8_cyc3_e22.onnx
23,property3,nan,nan,0.9960,5.8,acasXu_1_8_cyc3_e23.onnx
24,property4,nan,nan,0.9960,5.9,acasXu_1_8_cyc3_e24.onnx
25,property5,nan,nan,0.9960,6.2,acasXu_1_8_cyc3_e25.onnx
