epoch,trained_on,step,loss,grad_norm,seconds
1,property1,1,-4.011331,1.000000,0.05
1,property1,2,-4.012331,1.000000,0.05
1,property1,3,-4.013331,1.000000,0.06
1,property1,4,-4.014331,1.000000,0.06
1,property1,5,-4.015331,1.000000,0.06
1,property1,6,-4.016331,1.000000,0.06
1,property1,7,-4.017331,1.000000,0.06
1,property1,8,-4.018331,1.000000,0.06
1,property1,9,-4.019331,1.000000,0.06
1,property1,10,-4.020331,1.000000,0.06
1,property1,11,-4.021331,1.000000,0.06
1,property1,12,-4.022331,1.000000,0.13
1,property1,13,-4.023331,1.000000,0.09
1,property1,14,-4.024331,1.000000,0.07
1,property1,15,-4.025331,1.000000,0.06
1,property1,16,-4.026331,1.000000,0.06
2,property2,1,-0.335396,0.909031,0.59
2,property2,2,-0.336600,0.910286,0.89
2,property2,3,-0.337941,0.911674,0.39
2,property2,4,-0.339372,0.913145,0.37
2,property2,5,-0.340870,0.914674,0.36
2,property2,6,-0.342420,0.916244,0.39
2,property2,7,-0.344012,0.917844,0.36
2,property2,8,-0.345639,0.919466,0.37
2,property2,9,-0.347293,0.921102,0.39
2,property2,10,-0.348972,0.922747,0.43
2,property2,11,-0.350671,0.924399,0.37
2,property2,12,-0.352387,0.926053,0.36
2,property2,13,-0.354118,0.927708,0.45
2,property2,14,-0.355862,0.929361,0.44
2,property2,15,-0.357618,0.931010,0.35
2,property2,16,-0.359383,0.932654,0.35
3,property3,1,-0.283538,0.852665,0.35
3,property3,2,-0.282551,0.848953,0.48
3,property3,3,-0.281821,0.846653,0.36
3,property3,4,-0.281302,0.845179,0.35
3,property3,5,-0.281032,0.843749,0.36
3,property3,6,-0.280768,0.843387,0.36
3,property3,7,-0.280691,0.843281,0.35
3,property3,8,-0.280780,0.843404,0.42
3,property3,9,-0.281017,0.843729,0.36
3,property3,10,-0.281388,0.844237,0.36
3,property3,11,-0.281877,0.844906,0.35
3,property3,12,-0.282474,0.845720,0.35
