model,property,verdict,counterexample,solver_seconds,transcript
acasXu_1_8.onnx,1,verified,,4.3,marabou-outputs/acasXu_1_8_property1.txt
acasXu_1_8.onnx,2,verified,,302.1,marabou-outputs/acasXu_1_8_property2.txt
acasXu_1_8.onnx,3,falsified,"1799.988667, 5.9998124016e-2, 3.09999732192, 980.0, 960.0",1.5,marabou-outputs/acasXu_1_8_property3.txt
acasXu_1_8.onnx,4,falsified,"1799.988667, 5.9998124016e-2, 0.0, 1000.0002, 772.0476",1.3,marabou-outputs/acasXu_1_8_property4.txt
acasXu_1_8.onnx,5,falsified,"400.005115, 0.200000029904, -3.136590585536, 100.0, 44.436",1.4,marabou-outputs/acasXu_1_8_property5.txt
acasXu_1_8.onnx,6,timeout,,900.1,marabou-outputs/acasXu_1_8_property6.txt
acasXu_1_8.onnx,7,timeout,,1588.5,marabou-outputs/acasXu_1_8_property7.txt
acasXu_1_8.onnx,8,timeout,,1284.5,marabou-outputs/acasXu_1_8_property8.txt
acasXu_1_8.onnx,9,falsified,"6940.43275, -0.213288964064, -3.141592, 109.1663, 58.4076",1.1,marabou-outputs/acasXu_1_8_property9.txt
acasXu_1_8.onnx,10,verified,,133.0,marabou-outputs/acasXu_1_8_property10.txt
